iter	Passed	Remaining
0	1	114
1	2	100
2	3	110
3	4	100
4	5	97
5	6	95
6	6	92
7	7	90
8	8	90
9	10	92
10	11	92
11	12	90
12	13	89
13	14	87
14	15	86
15	16	86
16	17	84
17	18	82
18	19	81
19	19	79
20	20	78
21	22	78
22	23	78
23	24	77
24	25	76
25	26	75
26	27	73
27	28	73
28	29	72
29	30	70
30	31	69
31	32	68
32	32	66
33	33	65
34	35	66
35	36	65
36	37	64
37	38	63
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	83	13
86	85	12
87	86	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
